periodo_trimestral,credito_sector_privado,pbi_desestacionalizado,inflacion_ipc,tipo_cambio,creditos_sbs_millones,credito_privado_pct_pbi_bcrp
2007T1,72596.32102162,96.76335212652896,0.4153961784523327,3.189510303030304,98942.05,21.7753266083483
2007T3,80880.13052486,100.61343607968666,2.4037715108636566,3.1513134848484867,116691.086,24.3115281285494
2009T1,114749.7419878,109.518377848866,5.598282446681343,3.187674489633173,176590.45,29.9291557783905
2010T2,129247.02656823,119.36343180935266,1.1499467496370068,2.841090793650794,193653.69,32.0864838384108
2013T1,193004.49590187,139.80534977815367,2.63782096949416,2.5748979266347702,287436.30404200003,37.5021982796836
2015T3,280692.03,150.96387826640432,3.8367177349931274,3.213351103896104,219586.832119,41.5361346965153
2019T4,374462.85,172.535814096177,1.8824835971476532,3.362509761904763,285273.843813,40.9084494409276
2020T2,409902.09,120.108792867389,1.70171396683099,3.43045507936508,319566.14626000007,49.5221387497664
2022T3,460576.95365874,178.212529486923,8.556225251637104,3.89198500797448,360089.0915389999,43.0355080146788
2023T2,452593.949377221,176.427640707112,7.4401428235775535,3.7015124098124095,348358.31609,41.1296972060206
